age,income,home_ownership_enc,emplyment_length,loan_intent_enc,loan_amount,loan_interest_rate,loan_income_ratio,payment_default_enc,credit_history_length,max_allowed_loan
21.0,36000,3,5,1,8000,13.49,0.22,0,3,29781
21.0,36000,0,6,1,8000,5.99,0.22,0,4,29781
23.0,32000,0,3,1,7000,5.42,0.22,0,3,29781
23.0,32000,3,3,1,7000,12.99,0.22,1,4,29781
23.0,32000,3,5,3,7000,7.14,0.22,0,4,29781
23.0,32000,3,7,1,7000,7.49,0.22,0,2,29781
23.0,32000,3,0,5,7000,13.23,0.23,0,4,29781
25.0,27040,3,0,0,4000,6.39,0.15,0,3,29784
22.0,30000,3,1,5,3200,12.21,0.11,0,3,29788
22.0,30000,3,6,4,3200,11.14,0.11,0,3,29788
22.0,30000,3,4,4,3200,14.35,0.11,0,4,29788
23.0,28000,3,0,0,2400,13.72,0.09,0,2,29789
23.0,28000,3,0,5,2400,10.37,0.09,0,3,29789
22.0,28000,3,3,3,1000,11.99,0.04,0,4,29793
23.0,33000,3,6,1,8125,8.0,0.25,0,2,29804
26.0,27000,3,5,3,5275,6.91,0.19,0,2,29806
21.0,37000,3,6,4,9000,11.71,0.24,0,2,29830
23.0,31200,3,7,1,6000,11.89,0.19,0,2,29862
23.0,31200,3,3,1,6000,12.53,0.19,0,4,29862
23.0,31200,3,7,4,6000,6.03,0.19,0,2,29862
22.0,35350,3,3,0,9000,9.99,0.26,0,2,29864
21.0,39900,3,0,1,12000,7.9,0.3,0,3,29872
21.0,38000,3,5,1,10000,11.71,0.26,0,3,29879
23.0,30000,3,3,1,4600,8.94,0.16,0,3,29884
27.0,24000,3,2,3,2500,11.49,0.1,0,6,29887
22.0,29000,3,5,1,2000,13.49,0.07,1,2,29890
22.0,30000,0,6,0,3075,5.79,0.1,0,3,29913
26.0,28800,3,0,4,7500,10.39,0.27,0,4,29917
26.0,29000,3,3,5,7750,10.99,0.27,0,2,29927
23.0,33000,3,4,1,8000,14.65,0.24,0,4,29929
23.0,33000,3,2,5,8000,15.27,0.24,0,4,29929
23.0,33000,3,4,4,8000,14.65,0.24,1,3,29929
23.0,33000,3,3,1,8000,9.63,0.24,0,4,29929
22.0,28596,3,0,4,1500,11.83,0.05,0,3,29947
23.0,40000,0,2,1,16000,14.22,0.4,1,4,29971
22.0,40000,0,2,1,14000,7.51,0.35,0,2,29974
22.0,40000,0,0,3,14000,7.49,0.35,0,4,29974
22.0,40000,0,6,1,14000,12.99,0.35,1,4,29974
22.0,40000,2,4,5,14000,9.99,0.35,0,3,29974
24.0,35000,3,3,3,12000,13.57,0.35,1,2,29974
24.0,35000,0,8,5,12000,7.49,0.34,0,2,29974
24.0,35000,3,8,3,12000,8.9,0.34,0,4,29974
25.0,32000,0,7,2,10000,6.99,0.31,0,3,29975
28.0,27000,3,0,5,7800,11.86,0.29,0,5,29975
35.0,20000,0,1,3,5000,8.7,0.25,0,10,29975
35.0,20000,3,2,0,5000,12.69,0.25,0,6,29975
24.0,33000,0,8,0,9600,7.88,0.27,0,4,29976
21.0,40000,3,5,1,12000,14.26,0.3,0,2,29977
21.0,40000,3,3,1,12000,7.51,0.3,0,2,29977
21.0,40000,3,4,1,12000,15.62,0.3,0,4,29977
21.0,40000,0,5,0,12000,14.26,0.3,1,3,29977
21.0,40000,3,5,1,12000,13.49,0.3,0,2,29977
21.0,40000,3,0,1,12000,13.49,0.3,0,3,29977
21.0,40000,3,1,1,12000,7.51,0.3,0,3,29977
21.0,40000,3,5,5,12000,10.99,0.3,0,4,29977
21.0,40000,3,5,1,12000,8.9,0.3,0,4,29977
21.0,40000,2,5,4,12000,7.51,0.3,0,4,29977
21.0,40000,3,5,3,12000,11.99,0.3,0,2,29977
25.0,27996,3,5,3,5000,10.38,0.18,0,4,29977
30.0,24000,2,1,5,6000,6.76,0.25,0,9,29977
22.0,36000,3,4,1,9600,11.48,0.27,0,4,29978
25.0,30000,3,0,5,7500,10.95,0.25,0,3,29978
22.0,35000,2,3,0,8500,6.92,0.23,0,2,29980
25.0,29120,2,0,1,6400,9.99,0.22,0,3,29980
28.0,25000,3,12,5,5000,11.11,0.2,0,5,29980
29.0,24000,3,6,3,4800,10.65,0.2,0,9,29980
21.0,36000,0,5,4,7800,5.42,0.22,0,3,29981
24.0,30000,3,0,0,6000,13.11,0.2,0,3,29981
24.0,30000,3,3,0,6000,13.48,0.2,1,4,29981
24.0,30000,3,4,4,6000,11.86,0.2,0,4,29981
24.0,30000,3,2,1,6000,6.62,0.2,0,4,29981
24.0,30000,3,2,0,6000,11.49,0.2,0,4,29981
24.0,30000,3,2,0,6000,10.38,0.2,0,2,29981
24.0,30000,3,1,3,6000,7.51,0.2,0,3,29981
24.0,30000,3,3,0,6000,7.51,0.2,0,4,29981
24.0,30000,2,1,1,6000,11.99,0.2,0,4,29981
24.0,30000,3,5,2,6000,12.69,0.2,0,2,29981
24.0,30000,3,2,0,6000,10.59,0.2,0,2,29981
24.0,30000,2,2,4,6000,8.59,0.2,0,3,29981
24.0,30000,3,0,3,6000,11.71,0.2,0,4,29981
24.0,30000,3,0,3,6000,10.38,0.2,0,4,29981
24.0,30000,3,4,3,6000,6.54,0.2,0,4,29981
24.0,30000,3,6,4,6000,7.51,0.2,0,2,29981
24.0,30000,0,8,2,6000,10.65,0.2,0,3,29981
24.0,30000,3,2,1,6000,13.49,0.2,0,3,29981
24.0,30000,0,8,3,6000,7.29,0.2,0,2,29981
24.0,30000,0,6,2,6000,11.71,0.2,0,4,29981
24.0,30000,3,6,0,6000,7.51,0.2,0,2,29981
24.0,30000,3,6,3,6000,10.74,0.2,0,3,29981
24.0,30000,3,3,3,6000,7.9,0.2,0,2,29981
25.0,28800,3,0,4,6000,12.68,0.21,1,2,29981
25.0,28800,3,2,1,6000,7.9,0.21,0,4,29981
25.0,28800,3,2,3,6000,10.62,0.21,0,2,29981
23.0,30000,3,5,1,4500,5.42,0.15,0,2,29985
24.0,28000,3,1,0,3600,10.59,0.13,0,4,29986
25.0,26400,3,3,0,3000,10.74,0.11,0,3,29986
26.0,25000,2,8,4,2500,7.51,0.1,0,2,29987
27.0,24000,3,1,5,2400,10.99,0.1,0,6,29987
27.0,24000,2,3,5,2400,12.18,0.1,0,7,29987
22.0,30000,2,0,4,3000,7.29,0.1,0,3,29988
22.0,30000,3,0,3,3000,11.49,0.1,0,2,29988
22.0,30000,3,0,0,3000,8.59,0.1,0,4,29988
22.0,30000,3,0,3,3000,12.42,0.1,0,4,29988
22.0,30000,3,6,4,3000,11.86,0.1,0,2,29988
22.0,30000,3,3,5,3000,13.49,0.1,1,4,29988
22.0,30000,3,3,5,3000,12.42,0.1,0,3,29988
22.0,30000,0,3,0,3000,7.29,0.1,0,3,29988
22.0,30000,3,2,0,3000,7.9,0.1,0,4,29988
22.0,30000,3,6,1,3000,10.99,0.1,0,4,29988
22.0,30000,3,6,1,3000,7.88,0.1,0,3,29988
22.0,30000,3,4,0,3000,13.49,0.1,1,2,29988
22.0,30000,3,0,1,3000,7.29,0.1,0,3,29988
22.0,30000,3,1,4,3000,10.37,0.1,0,2,29988
22.0,30000,0,5,4,3000,13.49,0.1,0,2,29988
22.0,30000,3,2,1,3000,12.53,0.1,0,4,29988
22.0,30000,3,1,0,3000,6.62,0.1,0,3,29988
22.0,30000,3,0,0,3000,10.36,0.1,0,2,29988
22.0,30000,3,2,0,3000,8.94,0.1,0,3,29988
22.0,30000,3,2,0,3000,7.88,0.1,0,2,29988
22.0,30000,3,3,4,3000,11.49,0.1,0,3,29988
22.0,30000,3,5,3,3000,8.9,0.1,0,4,29988
22.0,30000,3,6,4,3000,11.49,0.1,0,3,29988
22.0,30000,0,4,4,3000,13.99,0.1,1,3,29988
22.0,30000,0,6,4,3000,8.9,0.1,0,3,29988
22.0,30000,3,4,1,3000,14.65,0.1,1,2,29988
22.0,30000,3,2,1,3000,7.51,0.1,0,2,29988
22.0,30000,3,2,5,3000,7.29,0.1,0,2,29988
22.0,30000,0,6,5,3000,10.25,0.1,0,2,29988
22.0,30000,3,1,4,3000,10.99,0.1,0,4,29988
22.0,30000,3,2,3,3000,6.92,0.1,0,4,29988
22.0,30000,3,7,1,3000,7.14,0.1,0,2,29988
21.0,30000,3,0,1,1500,12.84,0.05,1,2,29992
26.0,33000,0,10,4,12875,8.9,0.37,0,3,29995
22.0,35500,0,6,1,9000,8.49,0.25,0,2,30029
27.0,25000,0,4,3,3700,9.99,0.15,0,9,30034
22.0,34992,0,1,1,8400,15.96,0.24,0,2,30071
23.0,36000,0,7,5,11300,12.69,0.31,0,3,30076
23.0,36000,0,7,5,11300,13.49,0.31,1,2,30076
23.0,34000,3,4,4,9000,6.03,0.26,0,3,30078
26.0,27000,3,10,1,5000,7.9,0.19,0,2,30082
21.0,33000,3,0,1,4550,7.88,0.14,0,4,30086
22.0,33276,3,0,3,6500,9.63,0.2,0,3,30086
24.0,28000,3,0,5,3500,5.79,0.13,0,4,30086
25.0,25200,0,7,3,1400,7.66,0.06,0,3,30091
22.0,31200,3,1,5,4200,9.63,0.13,0,2,30106
23.0,33000,0,4,1,7800,7.14,0.24,0,3,30130
23.0,48000,0,7,3,25000,11.48,0.52,0,3,30164
31.0,24000,0,4,2,7000,11.99,0.29,0,5,30174
31.0,24000,3,2,3,7000,10.99,0.29,0,6,30174
23.0,36000,2,7,5,11200,9.88,0.31,0,2,30176
27.0,28000,2,3,1,7600,9.91,0.27,0,7,30176
21.0,39000,0,6,5,10750,6.62,0.28,0,3,30178
21.0,33996,3,5,4,5500,7.49,0.16,0,4,30180
22.0,32000,3,1,3,5000,10.36,0.16,0,2,30184
22.0,32000,3,4,1,5000,6.03,0.16,0,4,30184
22.0,32000,3,6,1,5000,12.42,0.16,0,3,30184
22.0,32000,3,5,4,5000,11.49,0.16,0,4,30184
22.0,30000,2,1,3,2800,16.49,0.09,1,3,30188
22.0,32004,2,0,1,5000,14.46,0.16,1,3,30189
22.0,32004,3,1,5,5000,10.37,0.16,0,3,30189
22.0,32004,3,1,0,5000,9.32,0.16,0,4,30189
25.0,36996,0,3,5,16000,15.68,0.43,1,4,30213
28.0,27600,0,2,0,8400,7.51,0.3,0,8,30214
24.0,31200,3,4,3,7200,11.89,0.24,0,3,30220
26.0,35004,2,4,3,15250,13.98,0.4,0,4,30223
23.0,35000,3,4,1,10000,13.49,0.29,0,4,30227
23.0,35000,3,7,1,10000,12.69,0.29,0,3,30227
23.0,35000,3,7,0,10000,7.51,0.29,0,4,30227
23.0,35000,3,1,4,10000,8.49,0.29,0,3,30227
23.0,35000,2,7,5,10000,13.98,0.29,0,4,30227
23.0,35000,0,7,1,10000,11.49,0.29,0,2,30227
23.0,35000,3,4,1,10000,13.49,0.29,1,2,30227
23.0,35000,3,5,1,10000,14.27,0.29,1,2,30227
23.0,35000,3,7,1,10000,13.48,0.29,1,3,30227
23.0,35000,0,8,1,10000,7.51,0.29,0,4,30227
29.0,25000,2,9,4,6000,15.21,0.24,1,9,30228
22.0,29400,0,5,5,2100,12.21,0.07,0,2,30230
26.0,28000,3,10,5,6150,15.23,0.23,1,3,30230
25.0,29000,3,4,1,6000,6.62,0.21,0,2,30231
28.0,25000,0,3,3,4750,7.9,0.19,0,8,30231
23.0,35004,3,0,4,10000,14.72,0.29,1,2,30232
25.0,25000,2,9,3,1000,15.33,0.04,0,2,30242
25.0,25000,0,9,4,1000,7.4,0.04,0,4,30242
25.0,35000,0,1,0,13475,7.88,0.39,0,3,30246
24.0,27311,3,2,1,2500,7.66,0.09,0,3,30261
26.0,25596,3,0,4,3000,9.99,0.12,0,4,30261
21.0,46000,0,5,0,18000,14.26,0.39,0,2,30272
23.0,34174,0,8,4,9000,7.49,0.26,0,4,30278
25.0,30000,3,5,3,7200,7.29,0.24,0,2,30279
25.0,30000,3,4,4,7200,9.62,0.24,0,4,30279
29.0,24000,3,5,1,4500,7.49,0.19,0,9,30281
22.0,33000,0,6,1,6000,6.54,0.18,0,2,30283
22.0,33000,0,6,4,6000,7.88,0.18,0,3,30283
22.0,33000,3,0,1,6000,6.54,0.18,0,2,30283
23.0,30000,3,0,3,4200,11.36,0.14,0,4,30285
23.0,30000,3,2,0,4200,7.51,0.14,0,2,30285
23.0,30000,0,3,1,4200,10.25,0.14,0,3,30285
23.0,30000,3,1,1,4200,12.42,0.14,0,3,30285
23.0,30000,3,1,0,4200,12.69,0.14,0,3,30285
22.0,30000,0,7,4,2700,13.92,0.09,1,3,30289
21.0,30000,3,0,1,1200,11.49,0.04,0,3,30293
21.0,30000,0,5,1,1200,12.69,0.04,0,4,30293
24.0,33600,2,5,5,10000,11.12,0.3,0,2,30296
24.0,33600,3,5,1,10000,10.99,0.3,0,3,30296
24.0,33600,2,4,1,10000,10.25,0.3,0,4,30296
21.0,38400,3,5,1,10000,13.23,0.26,1,2,30299
26.0,26400,3,3,4,4000,13.72,0.15,1,4,30304
26.0,26400,3,1,0,4000,9.99,0.15,0,4,30304
22.0,31200,3,2,0,4000,10.62,0.13,0,2,30306
22.0,31200,3,3,1,4000,7.88,0.13,0,2,30306
22.0,31200,3,3,4,4000,11.86,0.13,0,4,30306
21.0,42000,0,5,1,13750,11.36,0.33,0,4,30325
21.0,35000,3,1,3,6400,7.51,0.18,0,2,30333
23.0,29004,3,0,5,3000,10.99,0.11,0,3,30342
22.0,28500,3,0,3,1000,12.53,0.03,0,4,30343
24.0,28800,3,2,3,4200,6.03,0.15,0,4,30344
27.0,28800,3,1,1,8500,11.14,0.3,0,8,30355
23.0,36000,2,7,5,11000,8.94,0.31,0,3,30376
28.0,26000,2,6,3,6000,7.51,0.23,0,10,30378
25.0,29120,3,0,0,6000,10.75,0.2,0,3,30381
24.0,30000,3,0,3,5600,7.4,0.19,0,3,30382
24.0,30000,3,3,1,5600,10.37,0.19,0,2,30382
23.0,38400,2,7,1,13750,10.75,0.35,0,3,30383
36.0,18000,3,3,0,2000,14.17,0.11,1,16,30384
22.0,32000,3,6,1,4800,12.42,0.15,0,3,30385
22.0,32000,3,7,4,4800,14.54,0.15,0,3,30385
23.0,34800,0,3,0,9600,8.94,0.27,0,4,30397
25.0,28800,0,9,2,5575,6.92,0.19,0,2,30406
27.0,27000,3,9,0,6000,7.51,0.22,0,5,30429
23.0,33000,3,1,4,7500,11.03,0.23,1,3,30430
23.0,33000,3,5,4,7500,11.99,0.23,0,4,30430
69.0,26400,3,3,3,6000,11.48,0.23,0,20,30432
26.0,29400,3,1,1,7750,10.62,0.26,0,3,30447
28.0,30000,2,2,4,11500,15.21,0.38,0,5,30470
22.0,28800,3,2,3,1200,12.99,0.04,0,2,30472
22.0,28800,3,2,3,1200,11.83,0.04,0,2,30472
25.0,34000,3,9,5,12000,13.11,0.35,0,2,30473
27.0,30000,3,3,5,10000,8.49,0.33,0,10,30473
27.0,30000,0,0,0,10000,7.51,0.33,0,7,30473
27.0,30000,3,1,1,10000,12.53,0.33,0,9,30473
27.0,30000,2,4,3,10000,7.14,0.33,0,7,30473
27.0,30000,2,11,5,10000,5.42,0.33,0,5,30473
27.0,30000,3,3,1,10000,7.9,0.33,0,6,30473
30.0,25000,3,1,5,7000,8.9,0.28,0,10,30475
30.0,25000,3,0,5,7000,12.87,0.28,1,8,30475
30.0,24000,3,4,1,5500,14.72,0.23,0,7,30478
25.0,30000,0,3,0,7000,10.0,0.23,0,4,30479
25.0,30000,3,2,1,7000,12.53,0.23,0,4,30479
25.0,30000,3,2,0,7000,13.92,0.23,1,3,30479
25.0,30000,0,3,4,7000,5.42,0.23,0,4,30479
25.0,30000,3,8,4,7000,12.12,0.23,0,4,30479
25.0,30000,3,4,3,7000,10.37,0.23,0,4,30479
22.0,35000,3,6,1,8000,10.65,0.23,0,3,30480
22.0,35000,3,4,0,8000,10.99,0.23,0,2,30480
22.0,35000,3,6,1,8000,13.99,0.23,0,2,30480
22.0,35000,0,2,1,8000,11.99,0.23,0,4,30480
22.0,35000,3,3,0,8000,7.49,0.23,0,4,30480
22.0,35000,3,6,5,8000,11.12,0.23,0,3,30480
22.0,35000,3,0,1,8000,13.06,0.23,0,3,30480
22.0,35000,3,4,4,8000,13.16,0.23,1,3,30480
25.0,28800,3,1,3,5500,9.63,0.19,0,3,30481
25.0,28000,3,5,1,4500,10.99,0.16,0,4,30483
25.0,27600,3,2,0,4000,7.29,0.14,0,3,30484
22.0,35004,3,6,3,8000,15.27,0.22,1,4,30485
23.0,30000,3,0,1,4000,7.49,0.13,0,4,30485
23.0,30000,3,1,3,4000,10.74,0.13,0,2,30485
23.0,30000,3,0,0,4000,7.29,0.13,0,3,30485
23.0,30000,3,2,0,4000,5.42,0.13,0,2,30485
23.0,30000,3,6,5,4000,8.94,0.13,0,2,30485
23.0,30000,0,7,5,4000,10.99,0.13,0,2,30485
23.0,30000,3,7,1,4000,13.98,0.13,1,2,30485
23.0,30000,3,4,1,4000,12.61,0.13,0,3,30485
23.0,30000,3,0,1,4000,10.36,0.13,0,4,30485
23.0,30000,3,0,4,4000,6.17,0.13,0,3,30485
23.0,30000,2,5,1,4000,15.27,0.13,0,2,30485
23.0,30000,3,7,3,4000,11.49,0.13,0,2,30485
27.0,25000,0,2,2,3250,10.99,0.13,0,10,30485
22.0,30000,3,2,4,2500,9.99,0.08,0,4,30489
22.0,30000,0,0,5,2500,10.37,0.08,0,2,30489
22.0,30000,3,1,0,2500,7.68,0.08,0,4,30489
25.0,26000,2,3,5,2000,8.0,0.08,0,4,30489
21.0,30000,0,5,0,1000,13.79,0.03,1,2,30493
21.0,30000,2,5,5,1000,12.42,0.03,0,3,30493
21.0,30000,3,5,1,1000,8.49,0.03,0,3,30493
21.0,30000,3,0,1,1000,13.98,0.03,0,4,30493
23.0,32000,2,7,4,6250,12.69,0.19,0,3,30532
24.0,28800,3,1,4,4000,9.99,0.14,0,2,30545
24.0,28800,0,1,2,4000,13.72,0.14,1,3,30545
24.0,28800,3,0,4,4000,8.9,0.14,0,3,30545
24.0,28800,3,0,3,4000,13.61,0.14,0,2,30545
22.0,34800,3,3,4,7700,9.32,0.23,0,2,30561
28.0,25200,3,0,3,4700,13.49,0.18,1,9,30561
24.0,38000,0,3,5,15000,10.99,0.39,0,3,30571
24.0,38000,2,8,5,15000,9.88,0.39,0,3,30571
24.0,38000,0,7,2,15000,6.54,0.39,0,3,30571
36.0,20000,3,3,4,5400,16.29,0.25,0,15,30574
24.0,33000,3,2,3,9000,7.51,0.27,0,3,30577
24.0,33000,0,9,5,9000,11.99,0.27,0,3,30577
22.0,36000,3,1,4,9000,7.49,0.25,0,3,30579
29.0,24000,3,0,1,4200,11.71,0.17,0,6,30581
24.0,29000,3,3,3,4200,10.65,0.14,0,3,30584
28.0,24000,3,0,3,3000,12.42,0.13,0,6,30585
22.0,33276,3,4,1,6000,7.74,0.19,0,3,30587
22.0,33276,3,1,1,6000,8.94,0.18,0,4,30587
24.0,28000,3,5,3,3000,10.75,0.11,0,4,30587
24.0,28000,3,5,5,3000,13.35,0.01,0,2,30587
22.0,30000,3,3,4,2400,11.49,0.08,0,2,30589
22.0,30000,3,0,1,2400,10.59,0.08,0,3,30589
22.0,30000,3,6,1,2400,11.49,0.08,0,2,30589
22.0,30000,3,3,0,2400,13.98,0.08,1,3,30589
27.0,24000,3,0,3,1800,11.86,0.07,0,6,30589
32.0,22884,3,2,0,6000,13.06,0.26,0,7,30590
24.0,29676,3,3,1,5000,10.0,0.16,0,2,30594
23.0,28800,2,7,4,2500,7.49,0.09,0,3,30609
21.0,53000,0,5,5,25000,10.96,0.47,0,2,30617
23.0,35352,0,4,4,10000,5.42,0.29,0,3,30632
23.0,31000,0,5,0,5000,7.51,0.16,0,4,30634
23.0,31000,3,5,1,5000,7.88,0.16,0,2,30634
23.0,31000,2,0,5,5000,11.11,0.16,0,3,30634
23.0,31000,3,0,1,5000,7.74,0.16,0,4,30634
23.0,31000,3,7,3,5000,11.36,0.16,0,2,30634
25.0,35000,0,4,0,13075,7.29,0.37,0,2,30646
22.0,34255,3,4,3,7000,7.9,0.18,0,3,30662
22.0,28800,0,6,3,1000,10.99,0.03,0,2,30673
22.0,36996,3,1,3,10000,5.99,0.27,0,3,30674
22.0,36996,0,6,4,10000,10.08,0.27,0,3,30674
31.0,24000,3,0,1,6500,8.49,0.27,0,10,30675
31.0,24000,3,0,3,6500,6.03,0.26,0,9,30675
22.0,37000,3,6,1,10000,11.71,0.27,0,3,30678
22.0,37000,3,1,1,10000,10.99,0.27,0,3,30678
22.0,37000,3,2,1,10000,7.66,0.27,0,4,30678
22.0,37000,3,6,3,10000,12.69,0.27,0,4,30678
22.0,37000,3,3,1,10000,10.99,0.27,0,2,30678
22.0,37000,3,0,1,10000,5.79,0.27,0,3,30678
22.0,37000,3,2,1,10000,12.42,0.27,0,4,30678
23.0,34000,3,1,1,8400,11.48,0.26,0,2,30679
22.0,33000,0,6,4,5600,15.21,0.17,0,3,30684
22.0,33000,3,6,0,5600,10.65,0.17,0,4,30684
22.0,32000,3,0,1,4500,13.61,0.14,0,4,30685
22.0,36100,3,6,4,9000,16.49,0.26,0,3,30689
23.0,28000,0,7,3,1500,7.4,0.05,0,2,30691
22.0,31200,3,0,0,3600,11.09,0.12,1,2,30707
22.0,31200,3,5,4,3600,6.03,0.11,0,2,30707
23.0,28452,2,5,5,2000,11.12,0.06,0,4,30710
22.0,36120,2,3,1,9000,10.38,0.25,0,4,30711
31.0,25000,0,2,5,8000,6.62,0.32,0,6,30722
21.0,43000,2,5,1,14400,7.88,0.33,0,2,30725
23.0,33000,3,4,3,7200,10.65,0.22,0,2,30730
42.0,25440,0,9,5,12000,19.41,0.49,0,17,30730
21.0,35000,3,2,5,6000,11.49,0.17,0,2,30734
21.0,35000,3,5,1,6000,10.99,0.17,0,4,30734
21.0,35000,0,2,1,6000,15.23,0.17,0,4,30734
21.0,35000,3,5,1,6000,15.23,0.17,0,3,30734
21.0,35000,2,5,4,6000,6.03,0.17,0,2,30734
27.0,25000,3,0,1,3000,9.62,0.12,0,5,30735
27.0,25000,2,3,5,3000,11.83,0.12,0,10,30735
25.0,27000,3,0,0,3000,7.14,0.11,0,4,30736
21.0,31200,3,3,4,2000,16.49,0.06,0,3,30751
23.0,28150,3,0,3,1600,10.59,0.06,0,3,30763
24.0,33996,3,8,1,10000,8.0,0.29,0,2,30771
24.0,34000,3,8,0,10000,7.88,0.29,0,2,30776
22.0,38000,3,3,0,11000,8.94,0.29,0,2,30777
27.0,28000,3,2,3,7000,9.32,0.25,0,10,30777
21.0,36000,3,5,4,7000,7.29,0.19,0,2,30782
21.0,36000,2,5,5,7000,5.42,0.19,0,3,30782
23.0,32000,3,1,0,6000,9.32,0.19,0,3,30782
23.0,32000,3,1,1,6000,7.9,0.19,0,4,30782
23.0,32000,3,2,0,6000,12.99,0.19,0,4,30782
29.0,24000,2,0,1,4000,6.62,0.17,0,5,30782
29.0,24000,0,4,5,4000,11.86,0.17,0,9,30782
29.0,24000,0,2,4,4000,14.91,0.17,0,9,30782
22.0,33000,3,4,1,5500,11.71,0.17,0,3,30784
28.0,24000,3,2,3,2800,7.29,0.12,0,9,30785
58.0,20000,3,2,4,4000,8.94,0.2,0,19,30797
24.0,36000,0,2,5,12375,7.91,0.34,0,4,30798
24.0,33189,3,3,4,9000,13.22,0.27,0,3,30804
22.0,31200,3,3,1,3500,7.9,0.11,0,4,30807
22.0,31200,3,6,4,3500,14.35,0.11,1,4,30807
24.0,29865,3,6,3,5000,14.22,0.17,0,4,30821
31.0,23004,3,2,4,4800,9.91,0.21,0,10,30835
28.0,23004,3,0,0,1350,5.42,0.06,0,10,30845
24.0,34000,0,1,1,9925,9.63,0.29,0,4,30851
23.0,31200,3,7,4,5000,8.88,0.16,0,3,30864
27.0,34000,0,11,5,15000,6.03,0.44,0,5,30867
26.0,33000,3,3,3,12000,10.99,0.36,0,3,30872
23.0,36000,2,5,5,10500,7.14,0.3,0,3,30876
25.0,30000,3,2,0,6600,15.23,0.22,1,3,30880
23.0,30000,3,7,5,3600,14.27,0.12,0,2,30886
23.0,30000,3,0,5,3600,14.79,0.12,0,4,30886
22.0,31000,3,0,0,3200,9.99,0.1,0,4,30888
22.0,37200,3,5,0,10000,14.72,0.27,0,4,30898
22.0,37200,3,6,5,10000,6.99,0.27,0,3,30898
22.0,35400,3,4,1,8000,11.83,0.23,0,2,30920
27.0,32000,0,4,1,12250,10.99,0.38,0,8,30920
23.0,33000,3,1,3,7000,6.99,0.21,0,2,30931
23.0,33000,3,1,0,7000,10.99,0.21,0,4,30931
23.0,29000,2,6,3,2400,9.62,0.08,0,2,30939
27.0,24000,3,3,3,1450,14.27,0.06,0,8,30940
22.0,33600,2,6,5,6000,8.49,0.18,0,4,30943
25.0,36000,0,1,1,14000,9.63,0.39,0,2,30970
37.0,20000,3,1,3,6000,10.39,0.3,0,14,30971
23.0,40000,2,6,3,15000,6.03,0.38,0,3,30972
36.0,20000,3,4,5,5000,10.65,0.25,0,14,30975
25.0,32000,3,0,4,9000,9.88,0.28,0,4,30976
25.0,32000,3,2,3,9000,11.49,0.28,0,4,30976
26.0,30000,3,5,3,8000,6.17,0.27,0,4,30977
26.0,30000,3,2,0,8000,12.18,0.27,0,2,30977
26.0,30000,3,5,1,8000,12.18,0.27,0,3,30977
26.0,30000,3,2,1,8000,10.74,0.27,0,2,30977
26.0,30000,2,3,5,8000,7.49,0.27,0,2,30977
26.0,30000,2,4,3,8000,13.47,0.27,1,3,30977
26.0,30000,3,0,4,8000,9.32,0.27,0,3,30977
25.0,31200,3,4,4,8000,10.99,0.26,0,2,30978
25.0,31200,3,0,3,8000,13.48,0.26,1,3,30978
30.0,24000,3,3,3,5000,7.14,0.21,0,8,30979
30.0,24000,2,11,4,5000,12.21,0.21,0,7,30979
25.0,30000,3,0,1,6500,14.35,0.22,1,3,30980
22.0,35000,3,6,1,7500,8.0,0.21,0,2,30981
22.0,35000,3,7,1,7500,10.28,0.21,1,4,30981
25.0,32004,3,5,3,9000,12.73,0.28,0,4,30981
25.0,28800,3,1,4,5000,7.9,0.17,0,4,30982
25.0,28800,3,1,3,5000,11.99,0.17,0,4,30982
25.0,28800,3,5,3,5000,7.49,0.17,0,4,30982
24.0,30000,3,8,3,5000,10.62,0.17,0,4,30983
24.0,30000,3,1,3,5000,11.83,0.17,0,4,30983
24.0,30000,3,0,3,5000,8.59,0.17,0,4,30983
24.0,30000,3,8,5,5000,13.11,0.17,0,2,30983
24.0,30000,3,0,2,5000,11.46,0.17,0,4,30983
24.0,30000,3,2,0,5000,8.94,0.17,0,4,30983
24.0,30000,3,0,4,5000,6.17,0.17,0,2,30983
24.0,30000,3,2,5,5000,7.9,0.17,0,3,30983
24.0,30000,3,1,3,5000,6.03,0.17,0,3,30983
24.0,30000,3,8,4,5000,7.9,0.17,0,2,30983
24.0,30000,3,1,4,5000,10.36,0.17,0,2,30983
24.0,30000,3,2,3,5000,12.84,0.17,0,4,30983
24.0,30000,2,0,3,5000,14.96,0.17,1,4,30983
25.0,28000,3,3,5,4000,12.98,0.14,0,3,30984
25.0,28000,3,0,1,4000,10.75,0.14,0,3,30984
22.0,32000,3,10,0,4200,6.39,0.13,0,3,30986
23.0,30000,0,0,1,3500,10.28,0.12,0,4,30986
23.0,30000,3,3,1,3500,7.49,0.12,0,2,30986
23.0,30000,0,7,4,3500,16.32,0.12,0,4,30986
22.0,30000,0,6,1,2000,10.99,0.07,0,2,30990
22.0,30000,3,1,3,2000,12.69,0.07,0,2,30990
22.0,30000,3,0,1,2000,11.49,0.07,0,2,30990
22.0,30000,0,6,1,2000,7.29,0.07,0,4,30990
22.0,30000,3,1,1,2000,12.18,0.07,0,4,30990
22.0,30000,3,4,1,2000,13.99,0.07,1,2,30990
22.0,30000,3,6,1,2000,7.29,0.07,0,3,30990
